timestamp,event_id,split,event_type,site_id,synthetic_data,field_validated,distance_a_cm,distance_b_cm,rise_a_cm_min,rise_b_cm_min,distance_delta_abs_cm,current_precipitation_mm,rain_1h_mm,rain_6h_mm,max_probability_6h,node_a_valid,node_b_valid,node_a_online,node_b_online,weather_stale,label_available,critical_within_5min
2026-07-01T03:00:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.011,13.069,0.0,0.0,0.058,0.0,0.0,0.0,12.4,1,1,1,1,0,1,0
2026-07-01T03:01:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.902,13.045,0.109,0.024,0.143,0.0,0.0,0.0,15.8,1,1,1,1,0,1,0
2026-07-01T03:02:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.916,12.998,-0.014,0.047,0.082,0.0,0.0,0.0,17.3,1,1,1,1,0,1,0
2026-07-01T03:03:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.106,13.306,-0.19,-0.308,0.2,0.0,0.0,0.0,9.4,1,1,1,1,0,1,0
2026-07-01T03:04:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.087,13.146,0.019,0.16,0.059,0.0,0.0,0.0,8.2,1,1,1,1,0,1,0
2026-07-01T03:05:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.933,13.092,0.154,0.054,0.159,0.0,0.0,0.0,22.4,1,1,1,1,0,1,0
2026-07-01T03:06:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.972,13.193,-0.039,-0.101,0.221,0.0,0.0,0.0,11.7,1,1,1,1,0,1,0
2026-07-01T03:07:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.111,13.18,-0.139,0.013,0.069,0.0,0.0,0.0,8.4,1,1,1,1,0,1,0
2026-07-01T03:08:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.073,13.205,0.038,-0.025,0.132,0.0,0.0,0.0,11.1,1,1,1,1,0,1,0
2026-07-01T03:09:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.013,13.157,0.06,0.048,0.144,0.0,0.0,0.0,9.8,1,1,1,1,0,1,0
2026-07-01T03:10:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.972,13.105,0.041,0.052,0.133,0.0,0.0,0.0,16.8,1,1,1,1,0,1,0
2026-07-01T03:11:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.914,13.017,0.058,0.088,0.103,0.0,0.0,0.0,19.4,1,1,1,1,0,1,0
2026-07-01T03:12:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.743,13.031,0.171,-0.014,0.288,0.0,0.0,0.0,16.0,1,1,1,1,0,1,0
2026-07-01T03:13:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.893,13.143,-0.15,-0.112,0.25,0.0,0.0,0.0,14.8,1,1,1,1,0,1,0
2026-07-01T03:14:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.739,13.072,0.154,0.071,0.333,0.0,0.0,0.0,9.2,1,1,1,1,0,1,0
2026-07-01T03:15:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.888,13.135,-0.149,-0.063,0.247,0.0,0.0,0.0,17.9,1,1,1,1,0,0,
2026-07-01T03:16:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.731,13.097,0.157,0.038,0.366,0.0,0.0,0.0,11.2,1,1,1,1,0,0,
2026-07-01T03:17:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.916,13.056,-0.185,0.041,0.14,0.0,0.0,0.0,19.5,1,1,1,1,0,0,
2026-07-01T03:18:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.789,12.976,0.127,0.08,0.187,0.0,0.0,0.0,12.2,1,1,1,1,0,0,
2026-07-01T03:19:00Z,SYN-001,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.887,13.086,-0.098,-0.11,0.199,0.0,0.0,0.0,19.4,1,1,1,1,0,0,
2026-07-01T06:00:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.983,13.046,0.0,0.0,0.063,0.0,0.0,0.0,22.1,1,1,1,1,0,1,0
2026-07-01T06:01:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.915,13.051,0.068,-0.005,0.136,0.0,0.0,0.0,20.4,1,1,1,1,0,1,0
2026-07-01T06:02:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.869,13.095,0.046,-0.044,0.226,0.0,0.0,0.0,20.0,1,1,1,1,0,1,0
2026-07-01T06:03:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.135,13.242,-0.266,-0.147,0.107,0.0,0.0,0.0,12.2,1,1,1,1,0,1,0
2026-07-01T06:04:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.965,13.103,0.17,0.139,0.138,0.0,0.0,0.0,12.8,1,1,1,1,0,1,0
2026-07-01T06:05:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.88,13.334,0.085,-0.231,0.454,0.0,0.0,0.0,21.5,1,1,1,1,0,1,0
2026-07-01T06:06:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,13.101,13.169,-0.221,0.165,0.068,0.0,0.0,0.0,15.7,1,1,1,1,0,1,0
2026-07-01T06:07:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.911,13.152,0.19,0.017,0.241,0.0,0.0,0.0,21.0,1,1,1,1,0,1,0
2026-07-01T06:08:00Z,SYN-002,train,normal_dry,SYNTHETIC-DRAIN-01,1,0,12.939,13.098,-0.028,0.054,0.159,0.0,0.0,0.0,13.3,1,1,1,1,0,1,0
